#variable	;#name	;#block initialisation	;#register parameters
steamEngine	;steamEngine	;(TileBlock.create("steamEngine", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; SteamEngine.class, TileContainer.class
steamTurbine	;steamTurbine	;(TileBlock.create("steamTurbine", Material.iron, DefaultItemBlock.class, 1)).setCreativeTab(tabAutomation).setHardness(2.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; SteamTurbine.class, TileContainer.class
steamGenerator	;steamGenerator	;(TileBlock.create("steamGenerator", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(2.0F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; SteamGenerator.class, TileContainer.class
steamBoiler	;steamBoiler	;(TileBlock.create("steamBoiler", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; SteamBoiler.class, TileContainer.class
lavaCooler	;lavaCooler	;(TileBlock.create("lavaCooler", Material.rock, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; LavaCooler.class, TileContainer.class
energyFurnace	;energyFurnace	;(TileBlock.create("energyFurnace", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; EnergyFurnace.class, TileContainer.class
farm	;farm	;(TileBlock.create("farm", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; Farm.class, TileContainer.class
miner	;miner	;(TileBlock.create("miner", Material.iron, DefaultItemBlock.class, 0x12)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; Miner.class, TileContainer.class
magnet	;magnet	;(TileBlock.create("magnet", Material.iron, DefaultItemBlock.class, 1)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Magnet.class, null
link	;link	;(TileBlock.create("link", Material.iron, DefaultItemBlock.class, 5)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; ELink.class, TileContainer.class
linkHV	;linkHV	;(TileBlock.create("linkHV", Material.iron, DefaultItemBlock.class, 5)).setCreativeTab(tabAutomation).setHardness(2.0F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; ELink.class, TileContainer.class
texMaker	;texMaker	;(TileBlock.create("texMaker", Material.wood, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeWood)	; TextureMaker.class, TileContainer.class
builder	;builder	;(TileBlock.create("builder", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Builder.class, TileContainer.class
algaePool	;algaePool	;(TileBlock.create("algaePool", Material.glass, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeGlass)	; AlgaePool.class, TileContainer.class
teleporter	;teleporter	;(TileBlock.create("teleporter", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Teleporter.class, TileContainer.class
advancedFurnace	;advancedFurnace	;(TileBlock.create("advancedFurnace", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; AdvancedFurnace.class, TileContainer.class
pump	;pump	;(TileBlock.create("pump", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Pump.class, TileContainer.class
massstorageChest	;massstorageChest	;(TileBlock.create("massstorageChest", Material.wood, DefaultItemBlock.class, 0x43)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(50F).setStepSound(Block.soundTypeWood)	; MassstorageChest.class, TileContainer.class
matterOrb	;matterOrb	;(TileBlock.create("matterOrb", Material.iron, ItemMatterOrb.class, 0x40)).setCreativeTab(tabAutomation).setHardness(1.0F).setResistance(10F).setStepSound(Block.soundTypeStone)	; MatterOrb.class, null
antimatterBombE	;antimatterBombE	;(TileBlock.create("antimatterBombE", Material.tnt, ItemMatterOrb.class, 0x42)).setCreativeTab(tabAutomation).setHardness(1.0F).setResistance(10F).setStepSound(Block.soundTypeStone)	; MatterOrb.class, null
antimatterBombF	;antimatterBombF	;(TileBlock.create("antimatterBombF", Material.tnt, ItemAntimatterTank.class, 0x43)).setCreativeTab(tabAutomation).setHardness(1.0F).setResistance(10F).setStepSound(Block.soundTypeStone)	; AntimatterBomb.class, null
antimatterTank	;antimatterTank	;(TileBlock.create("antimatterTank", Material.iron, ItemAntimatterTank.class, 0x41)).setCreativeTab(tabAutomation).setHardness(2.5F).setResistance(40F).setStepSound(Block.soundTypeMetal)	; AntimatterTank.class, TileContainer.class
antimatterFabricator	;antimatterFabricator	;(TileBlock.create("antimatterFabricator", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(2.5F).setResistance(40F).setStepSound(Block.soundTypeMetal)	; AntimatterFabricator.class, TileContainer.class
antimatterAnihilator	;antimatterAnihilator	;(TileBlock.create("antimatterAnihilator", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(2.5F).setResistance(40F).setStepSound(Block.soundTypeMetal)	; AntimatterAnihilator.class, TileContainer.class
hpSolarpanel	;hpSolarpanel	;(TileBlock.create("hpSolarpanel", Material.glass, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeGlass)	; HPSolarpanel.class, null
autoCrafting	;autoCrafting	;(TileBlock.create("autoCrafting", Material.wood, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeWood)	; AutoCrafting.class, TileContainer.class
geothermalFurnace	;geothermalFurnace	;(TileBlock.create("geothermalFurnace", Material.rock, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; GeothermalFurnace.class, TileContainer.class
steamCompressor	;steamCompressor	;(TileBlock.create("steamCompressor", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; SteamCompressor.class, TileContainer.class
electricCompressor	;electricCompressor	;(TileBlock.create("electricCompressor", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; ElectricCompressor.class, TileContainer.class
tank	;tank	;(TileBlock.create("tank", Material.glass, ItemTank.class, 0x60)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; Tank.class, TileContainer.class
security	;security	;(TileBlock.create("security", Material.iron, DefaultItemBlock.class, 0x3)).setCreativeTab(tabAutomation).setBlockUnbreakable().setResistance(1000000F).setStepSound(Block.soundTypeStone)	; SecuritySys.class, TileContainer.class
decompCooler	;decompCooler	;(TileBlock.create("decompCooler", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(2.0F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; DecompCooler.class, TileContainer.class
collector	;collector	;(TileBlock.create("collector", Material.iron, DefaultItemBlock.class, 5)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Collector.class, TileContainer.class
trash	;trash	;(TileBlock.create("trash", Material.rock, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; Trash.class, TileContainer.class
electrolyser	;electrolyser	;(TileBlock.create("electrolyser", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; Electrolyser.class, TileContainer.class
fuelCell	;fuelCell	;(TileBlock.create("fuelCell", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; FuelCell.class, TileContainer.class
detector	;detector	;(TileBlock.create("detector", Material.rock, DefaultItemBlock.class, 0x15)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeStone)	; Detector.class, TileContainer.class
itemSorter	;itemSorter	;(TileBlock.create("itemSorter", Material.wood, DefaultItemBlock.class, 0)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeWood)	; ItemSorter.class, TileContainer.class
matterInterfaceB	;matterInterfaceB	;(TileBlock.create("matterInterfaceB", Material.iron, DefaultItemBlock.class, 2)).setCreativeTab(tabAutomation).setHardness(2.0F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; MatterInterface.class, TileContainer.class
fluidPacker	;fluidPacker	;(TileBlock.create("fluidPacker", Material.iron, DefaultItemBlock.class, 3)).setCreativeTab(tabAutomation).setHardness(2.0F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; FluidPacker.class, TileContainer.class
hugeTank	;hugeTank	;(TileBlock.create("hugeTank", Material.glass, ItemHugeTank.class, 0x60)).setCreativeTab(tabAutomation).setHardness(2.0F).setResistance(15F).setStepSound(Block.soundTypeGlass)	; HugeTank.class, TileContainer.class
fluidVent	;fluidVent	;(TileBlock.create("fluidVent", Material.iron, DefaultItemBlock.class, 5)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeMetal)	; FluidVent.class, TileContainer.class
gravCond	;gravCond	;(TileBlock.create("gravCond", Material.iron, DefaultItemBlock.class, 0x10)).setCreativeTab(tabAutomation).setHardness(2.5F).setResistance(20F).setStepSound(Block.soundTypeMetal)	; GraviCond.class, TileContainer.class
itemBuffer	;itemBuffer	;(TileBlock.create("itemBuffer", Material.wood, DefaultItemBlock.class, 0)).setCreativeTab(tabAutomation).setHardness(0.5F).setResistance(10F).setStepSound(Block.soundTypeWood)	; ItemBuffer.class, TileContainer.class
quantumTank	;quantumTank	;(TileBlock.create("quantumTank", Material.glass, ItemQuantumTank.class, 0x60)).setCreativeTab(tabAutomation).setHardness(2.5F).setResistance(20F).setStepSound(Block.soundTypeGlass)	; QuantumTank.class, TileContainer.class
vertShemGen	;vertShemGen	;(TileBlock.create("vertShemGen", Material.water, DefaultItemBlock.class, 7)).setCreativeTab(tabAutomation).setHardness(1.5F).setResistance(10F).setStepSound(Block.soundTypeWood)	; VertexShematicGen.class, TileContainer.class
